institucion_id|institucion|siglas|logo|url|website|tipo|descripcion|sector|modificado|publicado
131|Agencia de Aseguramiento de la Calidad de los Servicios de Salud y Medicina Prepagada|ACESS|https://www.gob.ec//sites/default/files/2020-01/logo%20acess-08.jpg|https://www.gob.ec/acess|http://www.acess.gob.ec/|Ejecutiva|Vigilar y controlar la calidad de los servicios que brindan los prestadores de salud y las compañías que financien servicios de atención integral en salud prepagada y de las de seguros que oferten cobertura de seguros de asistencia médica, velando por la seguridad de los pacientes y usuarios a través de la regulación y aseguramiento de la calidad y bajo los enfoques de derechos de género, interculturalidad, generacional y bioético.|Social|2022-09-15T08:41:06-0500|Si
45|Agencia de Regulación y Control de Electricidad|ARCONEL|https://www.gob.ec//sites/default/files/2018-11/Logo%20Arconel%202018_1.png|https://www.gob.ec/arconel|http://www.regulacionelectrica.gob.ec|Ejecutiva|Regular y controlar las actividades relacionadas con los Servicios Públicos de Energía Eléctrica y Alumbrado Público General, contribuyendo al desarrollo sostenible y sustentable del sector estratégico de electricidad, precautelando los intereses de la ciudadanía.|Infraestructura y de Recursos Naturales No Renovables|2020-10-02T11:32:27-0500|No
408|Agencia de Regulación y Control de Energía y Recursos Naturales no Renovables|ARCERNNR|https://www.gob.ec/|https://www.gob.ec/arcernnr||Ejecutiva||Función Ejecutiva|2022-03-14T16:13:09-0500|Si
67|Agencia de Regulación y Control de la Bioseguridad y Cuarentena para Galápagos|ABG|https://www.gob.ec//sites/default/files/2018-10/logo%20ABG.png|https://www.gob.ec/abg|http://www.bioseguridadgalapagos.gob.ec|Ejecutiva|Agencia de Regulación y Control de la Bioseguridad y Cuarentena para Galápagos (ABG) Institución adscrita al Ministerio del Ambiente cuya misión es la de Controlar, regular y reducir el riesgo de introducción y dispersión de especies exóticas por cualquier medio que pongan en riesgo la biodiversidad de las islas, la economía local y salud humana.|Hábitat y ambiente|2019-02-25T10:44:52-0500|Si
73|Agencia de Regulación y Control del Agua|ARCA|https://www.gob.ec//sites/default/files/2018-09/LOGOS2018_002.png|https://www.gob.ec/arca|http://www.regulacionagua.gob.ec|Ejecutiva|La Agencia de Regulación y Control del Agua tiene como objetivo principal, ejercer la regulación y control de la gestión integral e integrada de los recursos hídricos, de la cantidad y calidad de agua en sus fuentes y zonas de recarga, calidad de los servicios públicos relacionados al sector agua y en todos sus usos y aprovechamientos.|Hábitat y ambiente|2020-06-15T13:11:38-0500|Si
118|Agencia de Regulación y Control de las Telecomunicaciones|ARCOTEL|https://www.gob.ec//sites/default/files/2019-08/logoARCOTEL60x30_07Feb2019_0.png|https://www.gob.ec/arcotel|http://www.arcotel.gob.ec|Ejecutiva|Regular el uso del espectro radioeléctrico y los servicios de telecomunicaciones con la finalidad de garantizar el derecho de acceso a servicios de calidad, convergentes, con precios y tarifas equitativas; gestionar los recursos inherentes a las telecomunicaciones mediante su asignación transparente, equitativa, eficiente y ambientalmente sostenible; controlar el uso del espectro radioeléctrico, y la prestación de servicios de telecomunicaciones con calidad, universalidad, accesibilidad, continuidad, seguridad en las comunicaciones y protección de datos personales|Infraestructura y de Recursos Naturales No Renovables|2021-08-10T07:54:40-0500|Si
74|Agencia de Regulación y Control Fito y Zoosanitario|ARCFZ|https://www.gob.ec//sites/default/files/2018-09/logo-agrocalidad.jpg|https://www.gob.ec/arcfz|http://www.agrocalidad.gob.ec/|Ejecutiva|" 

Misión:

La Agencia de Regulación y Control Fito y Zoosanitario – es la encargada de la regulación y control de la sanidad del sector agropecuario y la inocuidad de los alimentos en la producción primaria, impulsando la productividad y competitividad para el desarrollo del sector y mejorar la calidad de vida de los productores agropecuarios mediante la implementación de planes, programas y proyectos de sanidad y bienestar animal, sanidad vegetal y la inocuidad de los alimentos con el fin de garantizar la calidad e inocuidad de la producción agropecuaria del país."|Producción|2022-07-07T15:28:24-0500|Si
20|Agencia de Regulación y Control Hidrocarburífero|ARCH|https://www.gob.ec//sites/default/files/2018-10/Logotipo%20institucional.png|https://www.gob.ec/arch|http://www.controlhidrocarburos.gob.ec/|Ejecutiva|Garantizar el aprovechamiento óptimo de los recursos hidrocarburíferos, velar por la eficiencia de la inversión pública y de los activos productivos en el sector de los hidrocarburos, con el fin de precautelar los intereses de la sociedad, mediante la efectiva regulación y el oportuno control de las operaciones y actividades relacionadas.|Infraestructura y de Recursos Naturales No Renovables|2020-10-02T11:33:12-0500|No
21|Agencia de Regulación y Control Minero|ARCOM|https://www.gob.ec//sites/default/files/2018-11/ARCOM.jpg|https://www.gob.ec/arcom|http://www.controlminero.gob.ec/|Ejecutiva|Vigilar, inspeccionar, auditar, intervenir, sancionar y controlar a quienes realicen actividades mineras con la finalidad de alcanzar un aprovechamiento racional, técnico, socialmente responsable y ambientalmente sustentable de los recursos naturales no renovables, enmarcados en la normativa legal y ambiental vigente (Registro Oficial No. 694 Edición Especial de 18 de agosto de 2016).|Infraestructura y de Recursos Naturales No Renovables|2020-10-02T11:33:20-0500|No
22|Agencia de Regulación y Control Postal|ARCP|https://www.gob.ec//sites/default/files/2018-10/Logotipo.jpg|https://www.gob.ec/arcp|https://www.regulacionpostal.gob.ec/|Ejecutiva|"De acuerdo con el Art. 8 de la Ley General de los Servicios Postales, la Agencia de Regulación y Control Postal es el organismo técnico-administrativo especializado y desconcentrado, adscrito al Ministerio rector del sector postal, con personalidad jurídica de derecho público, autonomía administrativa, técnica, económica, financiera y patrimonio propio.

La Agencia de Regulación y Control Postal tiene como misión:

Regular y controlar la administración y gestión de los servicios postales, para garantizar el derecho de los usuarios a la prestación eficiente, oportuna y segura de estos servicios, sobre la base de las políticas públicas, contribuyendo así al crecimiento y desarrollo del país."|Infraestructura y de Recursos Naturales No Renovables|2020-09-24T12:30:08-0500|No
